funlo_rollup_desc,EMAIL_THEME,DEPARTMENT,Unique Guids,Unique Households,THEME_SENT,THEME_OPEN,THEME_CLICK,THEME_UNSUBSCRIBE,theme_open_rate,theme_click_rate,DEPT_SENT,DEPT_OPEN,DEPT_CLICK,DEPT_UNSUBSCRIBE,dept_open_rate,dept_click_rate
Non-Loyal,Best Customer,No Department,7151007,6648642,5661100506,2247713934,116303450,5841979,0.3970454033836226,0.02054431817218827,2041554419,817434824,31106519,823855,0.4003982536014878,0.015236683730055397
New Households,Digital Coupons,Multi Department,4051200,3893456,3767385513,1499430800,46622872,3090024,0.3980030169001714,0.012375391857063713,9577804746,3750236656,103042168,5696390,0.39155492886469834,0.010758432723639907
Non-Loyal,Sale - Fuel,Pharmacy,2210000,2047675,55803991,29964487,2007634,36852,0.5369595697913434,0.03597653078253848,2799961,954043,8478,921,0.34073438880041546,0.0030278993171690607
Loyal,Digital Coupons,No Department,5833377,4986460,8365794751,4726245404,633110233,1930157,0.5649487639455953,0.07567843245548447,5873475087,2602644614,218818396,1733166,0.44311835420235945,0.037255354412640586
Loyal,Ecommerce,Adult Beverage,5038302,4487394,74943377,33915901,1233375,18257,0.45255367929310153,0.01645742491694763,605493801,311725568,38998648,170655,0.514828669567172,0.06440800539261012
Opportunity,Ecommerce,Produce,3652006,3357743,39374748,17385518,544145,12794,0.44153979093402707,0.013819644001277163,351297024,168283094,14163300,167976,0.4790336453291446,0.040317164770516244
Loyal,Ecommerce, Fresh,4865786,4313491,108283011,51275922,2053723,29752,0.4735361671832343,0.018966253164127474,749333591,371404486,45635219,285888,0.4956463856162562,0.06090107203001393
Opportunity,Sale - Threshold Offer,Multi Department,4456039,3979413,3335876257,1523469594,62433342,1934016,0.45669247796681683,0.018715724802138546,21878987073,10062921144,824085284,6289772,0.4599354216182273,0.0376656049592429
New Households,Digital Coupons,HBC,3570080,3444178,1668521580,777715816,27953151,1014131,0.4661107325923828,0.016753245109362026,3847437401,1473777951,38867176,3254572,0.3830544327029065,0.010102094446006557
Loyal,Digital Coupons,Pharmacy,5672294,4907674,2755564241,1579875197,212694090,530276,0.5733399982091,0.07718712807900746,2989250128,1140666693,120199612,1744317,0.3815895773710911,0.04021062368588782
Opportunity,Sale - Fuel Points,HBC,4033201,3668534,2011927191,748036913,65221544,1605664,0.3718011846284551,0.03241744745622855,2315447617,818600886,50066531,1252004,0.35353893562084415,0.02162283034710519
Non-Loyal,Holiday, Fresh,6434263,6070033,155360652,54875651,675944,56044,0.3532146028841331,0.004350805633848653,920033772,390099725,17527445,560460,0.4240058755147523,0.019050871319536734
Loyal,Seasonal,Multi Department,6013363,5102765,5157974061,2218418649,98042888,2392388,0.43009496030111966,0.019008022692729862,30275012566,14931871097,1793451105,6656499,0.49320775885553436,0.05923865765836591
New Households,Best Customer,No Department,3207917,3100062,1293708829,512273195,19501806,1490824,0.3959725585207396,0.015074339420775492,266733612,103828224,3183966,187575,0.38925811869559207,0.011936875807013029
Non-Loyal,Seasonal,Fresh,7185042,6701456,4782394820,1791888206,27742956,2492308,0.37468428965887846,0.00580105931111727,4429037948,1557128704,42915779,3060749,0.3515726716008711,0.009689639037610703
Opportunity,Weekly Specials,HBC,4450004,3975271,11110662557,4643036015,423888588,3368249,0.4178901115194763,0.03815151309162381,3750805368,1214904054,84359228,3288387,0.3239048510394475,0.02249096386597685
Opportunity,Holiday,HBC,4067839,3702770,1516159641,607767996,16095033,618900,0.4008601598174318,0.010615658512967897,2113169318,676498128,41572564,1502989,0.3201343698479726,0.019673087076309707
Opportunity,Holiday,Fresh,4081964,3713480,1632105032,649085409,18282905,819512,0.397698307568235,0.011202039477567151,1891097429,777223285,31751920,855371,0.4109906095166078,0.016790208432989204
Loyal,Seasonal,Grocery,5802833,4994953,4687461678,2048692579,79212446,1748929,0.43705798995974215,0.016898793300385462,5279216945,2528005449,194709635,1553016,0.4788599285343444,0.036882294671449614
Non-Loyal,Best Customer,Gift Cards,2212544,2083684,610287563,334169316,36411919,479002,0.5475604227576238,0.05966354421677769,1116389478,558088945,57044630,523382,0.49990523558123323,0.05109742712928005
Non-Loyal,Weekly Specials,Gift Cards,7684771,7096727,17203462054,6712761295,325351940,6970147,0.3901982795049795,0.01891200381520602,16911854311,6829562197,283195643,12527210,0.4038328424197599,0.016745392775516087
New Households,Ecommerce,Fuel,1618493,1564211,21821096,8199717,214898,14725,0.37577017213067576,0.00984817627858839,177488301,71229817,2025030,102913,0.40132119468538946,0.011409371708392206
New Households,Sale - Fuel Points,Pharmacy,1239424,1192801,113993941,54447443,2042589,104935,0.47763453497936353,0.017918399715648046,362074378,148903061,4439145,202811,0.4112499255608747,0.012260312437794204
Non-Loyal,Diigital Coupons,General Merchandise,5676353,5402965,108612702,47381775,2867324,49565,0.43624524689570837,0.026399527377562158,25394347,10764468,240805,9139,0.4238922938242909,0.00948262225447262
Non-Loyal,Best Customer,Multi Department,7708819,7116606,6331590834,2458920740,127559307,7458984,0.38835749252713003,0.020146486142948384,18123577499,7732829639,333564903,7284788,0.4266723630821052,0.018405025333348507
Non-Loyal,DEFAULT,DEFAULT,7726733,7129145,10866443580,3926830633,195613331,13829546,0.36137220094966893,0.018001596341974475,17173469063,6502242661,248966053,14436123,0.37862138611289614,0.014497132296723548
