funlo_seg_desc,EMAIL_THEME,DEPARTMENT,Unique Guids,Unique Households,THEME_SENT,THEME_OPEN,THEME_CLICK,THEME_UNSUBSCRIBE,theme_open_rate,theme_click_rate,DEPT_SENT,DEPT_OPEN,DEPT_CLICK,DEPT_UNSUBSCRIBE,dept_open_rate,dept_click_rate
New: Predicted Opportunity,Best Customer,Fuel,16824,16248,331295,162089,20209,192,0.48925881767005236,0.06100001509228935,523315,255854,27874,326,0.4889101210551962,0.053264286328501956
New: Predicted Opportunity,Ecommerce,Gift Cards,60882,58226,6829884,2910876,153789,4902,0.4261969895828392,0.02251707349641663,51706967,22962779,1224879,33968,0.4440944873057435,0.023688858021782635
Narrow Consumption,Digital Coupons,Multi Department,1573916,1370712,2267925446,1243460481,161343075,742042,0.5482810218444897,0.07114126052272356,7970931017,3828918366,455731389,1998002,0.4803602437198209,0.05717417300790072
Top Loyal,Sale - Fuel,HBC,2708125,2370234,126470125,61759776,9472347,72746,0.4883349012266731,0.07489790177719836,23076586,11459371,503408,4430,0.4965799967118186,0.02181466530621124
Moderate Loyal,Sale - Digital Coupon,Pharmacy,630392,573273,26468151,15380800,2293803,14854,0.5811059488061708,0.0866627593291273,4145887,2196391,154150,893,0.5297758959662914,0.03718142824442634
Moderate Loyal,Ecommerce,Fresh,2366828,2096766,1205606788,465515222,28600887,973508,0.3861252496531232,0.02372322989939901,1795506990,800657277,40001018,604815,0.44592267335032765,0.02227839725647629
New: Predicted Opportunity,Best Customer,Pharmacy,26468,25210,2723452,1468021,145159,2489,0.539029511076384,0.05329963590325807,2003433,801862,85442,1249,0.4002439812062595,0.042647795059779885
Moderate Loyal,Services,Fuel,2296365,2035960,96758230,35619590,2088428,39238,0.36812982213502665,0.021583983088570347,295578127,123415748,14179686,153968,0.4175401923431229,0.04797271754821019
Moderate Loyal,Sale - Digital Coupon,Gift Cards,588481,532073,73232192,41157400,6740196,42300,0.5620124002296695,0.09203870341611514,28094109,15107185,1312460,3482,0.537734974972867,0.04671655541736525
Moderate Non-Loyal,Digital Coupons,Produce,1801585,1630599,83875365,45215072,3704244,27479,0.5390745184834665,0.04416367070354925,186032083,86215022,6401749,116685,0.4634416849485043,0.03441206966434924
New: Predicted Non-Loyal,Services,Gift Cards,1986826,1918037,121603780,45328165,1336028,87682,0.37275292758169193,0.010986730840110398,1500351461,684546532,18748164,1079105,0.4562574502001968,0.012495848131146653
Moderate Non-Loyal,Diigital Coupons,HBC,1154254,1082911,23998085,12407191,1149603,15518,0.5170075445603264,0.047903947335797836,4125447,2059299,54281,932,0.49916990813359136,0.013157604497161156
Bottom Non-Loyal,Sale - Price & Item,Pharmacy,5356705,5050830,891399904,385851441,8593287,409426,0.4328600881249366,0.00964021530789844,3613837525,1360420732,41590750,2588136,0.3764476744150251,0.011508749276159006
Bottom Non-Loyal,Brand Savings,Grocery,5335537,5029457,4762662457,1508906515,54617212,4887392,0.316819957035221,0.011467789811500387,2155997265,892564663,24457753,1147389,0.413991556246246,0.011344055670682866
Unreliable Pattern,Sale - Threshold Offer, Fresh,2426181,2260296,75937073,34840560,803547,22528,0.4588083082949484,0.010581748390539098,360422608,159761080,9904190,187207,0.4432604294345487,0.027479380538748002
New: Predicted Non-Loyal,Savings - Fuel Points,Fresh,1130471,1098711,39325301,15659827,632703,42104,0.398212514635298,0.016088955047031936,5936352,2142993,58973,4327,0.3609949342626583,0.00993421549126467
New: Predicted Opportunity,Brand Savings,General Merchandise,92721,88376,33033510,12541052,680714,31800,0.37964636516071104,0.020606771729676926,21870899,9637655,490252,17008,0.44066112691572484,0.022415722371540374
Unreliable Pattern,Ecommerce,General Merchandise,2761916,2518661,1408128232,517113553,22663205,1121782,0.3672347029542406,0.01609456048460223,1888460481,760176689,42715461,1289788,0.4025377796613791,0.022619197716745865
Top Loyal,Sale - Price & Item,Multi Department,3493459,2898167,2619360915,1274182288,81719792,1113756,0.4864477746091741,0.031198370385701505,18038259700,9032548908,1193788239,3691619,0.5007439219871084,0.06618089875931878
New: Predicted Loyal,Weekly Specials, Fresh,70220,64595,9146592,3786404,289041,3772,0.41396883123244155,0.031600950386767,9108558,3861505,306049,5001,0.4239425164773612,0.033600159322694105
Bottom Non-Loyal,Sale - Prie,Gift Cards,299677,280029,6433266,3648799,229790,5352,0.5671767652697712,0.03571902669654885,1155055,610782,23968,241,0.5287904039201596,0.020750527031180334
Moderate Non-Loyal,Seasonal,No Department,1854688,1669534,1520460359,615033649,14835748,706403,0.40450488916692634,0.00975740532279145,1404511778,584582272,31816125,613197,0.4162174224216438,0.02265280042386373
Bottom Non-Loyal,Ecommerce,General Merchandise,5454539,5119855,3252744339,1144683863,34961554,3287486,0.3519132596052456,0.010748325215976958,4005954346,1558015770,49277555,2873137,0.38892499400441244,0.012301077532050337
Top Loyal,Best Customer,No Department,3323144,2789839,1897491872,859080552,152906435,1366440,0.45274531326161066,0.08058344663096402,1768278053,797369758,70634086,426043,0.450930076662553,0.03994512394708775
Unreliable Pattern,Sale - Threshold Offer,Fuel,2640210,2432107,181557980,87563409,1985903,55290,0.482288958050756,0.01093812015313235,452072045,174150123,10768847,302133,0.38522648088094014,0.02382108586254211
